Product_Name,Price,Ratings,Availability
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)(6 GB RAM)",12490.00,4.2,In stock
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)(6 GB RAM)",12490.00,4.2,In stock
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)(6 GB RAM)",12490.00,4.2,In stock
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)(6 GB RAM)",12999.00,4.2,In stock
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)(4 GB RAM)",11490.00,4.2,In stock
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)(6 GB RAM)",12999.00,4.2,In stock
"SAMSUNG Galaxy F34 5G (Orchid Violet, 128 GB)(8 GB RAM)",14999.00,4.2,In stock
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)(4 GB RAM)",11490.00,4.2,In stock
"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)(8 GB RAM)",54999.00,4.3,In stock
"SAMSUNG Galaxy S23 FE (Mint, 128 GB)(8 GB RAM)",54999.00,4.3,In stock
"SAMSUNG Galaxy S23 FE (Purple, 128 GB)(8 GB RAM)",54999.00,4.3,In stock
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)(4 GB RAM)",11490.00,4.2,In stock
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)(8 GB RAM)",14999.00,4.2,In stock
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)(8 GB RAM)",14999.00,4.2,In stock
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)(6 GB RAM)",14499.00,4.2,In stock
"SAMSUNG Galaxy S23 5G (Green, 256 GB)(8 GB RAM)",69999.00,4.5,In stock
"SAMSUNG Galaxy S23 FE (Mint, 256 GB)(8 GB RAM)",59999.00,4.3,In stock
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)(8 GB RAM)",69999.00,4.5,In stock
"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)(8 GB RAM)",69999.00,4.5,In stock
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)(6 GB RAM)",14499.00,4.2,In stock
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)(8 GB RAM)",64999.00,4.5,In stock
"SAMSUNG Galaxy S23 5G (Cream, 256 GB)(8 GB RAM)",69999.00,4.5,In stock
"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)(8 GB RAM)",59999.00,4.3,In stock
"SAMSUNG Galaxy S23 5G (Green, 128 GB)(8 GB RAM)",64999.00,4.5,In stock
